P1,P2,P3,P4,P5,P6,P7,P8,absorbance.rep1,absorbance.rep2,absorbance.rep3
0,1,0,1,1,0,0,1,0.8776,1.135,1.015
0,1,0,1,1,0,1,0,1.3007,1.3663,0.8478
0,1,0,1,1,0,1,1,0.769,1.0892,1.1689
0,1,0,1,1,1,0,0,1.2211,1.0111,0.793
0,1,0,1,1,1,0,1,1.2573,1.1974,1.3317
0,1,0,1,1,1,1,0,1.0616,1.1295,0.7306
0,1,0,1,1,1,1,1,0.8503,1.0224,0.8802
0,1,1,0,0,0,0,0,0.8062,0.8584,0.8373
0,1,1,0,0,0,0,1,1.3237,1.1871,1.2023
0,1,1,0,0,0,1,0,1.0327,0.6944,0.8285
0,1,1,0,0,0,1,1,0.9106,1.2429,0.9983
0,1,1,0,0,1,0,0,1.0598,0.6183,1.1767
0,1,1,0,0,1,0,1,1.2519,1.2363,1.1599
0,1,1,0,0,1,1,0,0.9974,0.6164,0.7978
0,1,1,0,0,1,1,1,0.942,1.1671,1.2297
0,1,1,0,1,0,0,0,1.07,0.7431,1.0033
0,1,1,0,1,0,0,1,1.3363,1.036,1.2077
0,1,1,0,1,0,1,0,1.008,0.6936,0.792
0,1,1,0,1,0,1,1,0.9495,1.2226,1.1528
0,1,1,0,1,1,0,0,1.1342,0.5843,1.036
0,1,1,0,1,1,0,1,1.363,1.2189,1.237
0,1,1,0,1,1,1,0,1.118,0.7253,0.8427
0,1,1,0,1,1,1,1,0.8867,1.2512,1.1664
0,1,1,1,0,0,0,0,1.0378,0.906,0.8864
0,1,1,1,0,0,0,1,1.273,1.2175,1.0225
0,1,1,1,0,0,1,0,0.9963,0.8383,0.8737
0,1,1,1,0,0,1,1,0.9235,1.2562,1.0225
0,1,1,1,0,1,0,0,1.0113,1.2476,0.8815
0,1,1,1,0,1,0,1,0.8294,1.2304,1.127
0,1,1,1,0,1,1,0,0.9458,0.8383,0.9486
0,1,1,1,0,1,1,1,0.7924,1.2539,1.0216
0,1,1,1,1,0,0,0,1.0116,1.046,0.7863
0,1,1,1,1,0,0,1,0.9713,1.1389,1.0575
0,1,1,1,1,0,1,0,1.0793,0.816,0.8942
0,1,1,1,1,0,1,1,1.0225,1.0068,1.1427
0,1,1,1,1,1,0,0,1.1083,1.1053,0.9071
0,1,1,1,1,1,0,1,0.9457,1.1854,0.9735
0,1,1,1,1,1,1,0,1.024,1.0731,1.0101
0,1,1,1,1,1,1,1,0.9442,1.1649,1.0686
1,0,0,0,0,0,0,0,0.3994,0.5251,0.1662
1,0,0,0,0,0,0,1,1.3835,1.1474,1.1689
1,0,0,0,0,0,1,0,1.1229,0.7436,1.294
1,0,0,0,0,0,1,1,0.9825,1.2678,1.1838
1,0,0,0,0,1,0,0,1.0306,0.5981,1.2633
1,0,0,0,0,1,0,1,1.3389,1.081,1.094
1,0,0,0,0,1,1,0,1.1028,0.8588,0.9129
1,0,0,0,0,1,1,1,0.8929,1.2571,1.126
1,0,0,0,1,0,0,0,0.8294,0.5578,0.6637
1,0,0,0,1,0,0,1,1.3763,1.1519,1.2223
1,0,0,0,1,0,1,0,1.2209,0.7172,1.2984
1,0,0,0,1,0,1,1,0.9267,1.3471,1.149
1,0,0,0,1,1,0,0,0.9385,0.5495,0.5894
1,0,0,0,1,1,0,1,1.334,1.113,1.1819
1,0,0,0,1,1,1,0,1.0626,0.7792,1.073
1,0,0,0,1,1,1,1,0.9514,1.2429,1.1205
1,0,0,1,0,0,0,0,1.1782,1.2294,0.7809
1,0,0,1,0,0,0,1,1.2537,1.1386,0.9936
1,0,0,1,0,0,1,0,1.1841,1.0861,1.156
1,0,0,1,0,0,1,1,0.9297,1.266,1.1617
1,0,0,1,0,1,0,0,1.1269,1.2527,1.1808
1,0,0,1,0,1,0,1,1.072,1.3026,1.2
1,0,0,1,0,1,1,0,1.0961,0.9834,1.2722
1,0,0,1,0,1,1,1,0.8118,1.184,1.1011
1,0,0,1,1,0,0,0,1.153,1.2781,0.7997
1,0,0,1,1,0,0,1,1.2229,1.2542,1.0322
1,0,0,1,1,0,1,0,1.2673,0.8395,1.4424
1,0,0,1,1,0,1,1,0.9037,1.2338,1.1488
1,0,0,1,1,1,0,0,1.1817,1.288,1.3963
1,0,0,1,1,1,0,1,0.8965,0.8373,1.1538
1,0,0,1,1,1,1,0,1.2669,1.3413,1.062
1,0,0,1,1,1,1,1,0.8638,1.1921,1.0052
1,0,1,0,0,0,0,0,0.7617,0.6842,0.9594
1,0,1,0,0,0,0,1,1.3228,1.1587,1.1939
1,0,1,0,0,0,1,0,1.0572,0.7143,1.1267
1,0,1,0,0,0,1,1,1.0456,1.3753,1.1829
1,0,1,0,0,1,0,0,1.0097,0.5683,1.0413
1,0,1,0,0,1,0,1,1.4908,1.2403,1.1544
1,0,1,0,0,1,1,0,0.8892,0.6696,0.8942
1,0,1,0,0,1,1,1,0.958,1.2372,1.1417
1,0,1,0,1,0,0,0,1.2283,0.6791,0.854
1,0,1,0,1,0,0,1,1.3267,1.2313,1.2519
1,0,1,0,1,0,1,0,1.0249,0.8092,1.0412
1,0,1,0,1,0,1,1,0.9397,1.3504,1.1367
1,0,1,0,1,1,0,0,0.8686,0.6002,0.9008
1,0,1,0,1,1,0,1,1.382,1.3233,1.1344
1,0,1,0,1,1,1,0,1.0478,0.7036,1.0493
1,0,1,0,1,1,1,1,0.8269,1.2263,1.1699
1,0,1,1,0,0,0,0,0.8178,0.999,0.9626
1,0,1,1,0,0,0,1,1.0223,1.1479,0.9738
1,0,1,1,0,0,1,0,0.8758,0.9506,1.0137
1,0,1,1,0,0,1,1,0.9324,0.8035,1.1882
1,0,1,1,0,1,0,0,1.0255,1.3006,1.0553
1,0,1,1,0,1,0,1,1.0053,1.3971,1.1555
1,0,1,1,0,1,1,0,0.9123,1.3975,1.0102
1,0,1,1,0,1,1,1,0.7707,1.2193,1.057
1,0,1,1,1,0,0,0,1.2064,1.1779,0.4371
1,0,1,1,1,0,0,1,0.9108,1.116,0.9399
1,0,1,1,1,0,1,0,1.112,1.284,1.0216
1,0,1,1,1,0,1,1,0.9229,0.8281,0.945
1,0,1,1,1,1,0,0,1.0405,1.3201,0.5795
1,0,1,1,1,1,0,1,0.8904,1.1865,0.9648
1,0,1,1,1,1,1,0,1.0759,1.0714,0.6766
